"Arquivo","Critico","CaminhoCompleto","TamanhoKB","UltimaModificacao"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_using\package.json","0,07","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_wrap_async_generator\package.json","0,1","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_wrap_native_super\package.json","0,1","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_write_only_error\package.json","0,1","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@types\cookie\package.json","0,92","21/06/2026 21:13:24"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@types\node\package.json","4,03","28/05/2026 23:25:46"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@types\papaparse\package.json","2,22","23/07/2026 10:56:41"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@types\prop-types\package.json","1,12","28/05/2026 23:25:43"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@types\react\package.json","5,87","28/05/2026 23:25:45"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@types\react-dom\package.json","2,31","28/05/2026 23:25:45"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\any-promise\package.json","0,99","28/05/2026 23:25:43"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\anymatch\package.json","0,88","28/05/2026 23:25:43"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\anymatch\node_modules\picomatch\package.json","1,87","21/06/2026 21:13:23"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\arg\package.json","0,58","28/05/2026 23:25:43"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\autoprefixer\package.json","1,12","29/05/2026 00:04:29"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\baseline-browser-mapping\package.json","2,77","29/05/2026 00:04:27"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\binary-extensions\package.json","0,72","28/05/2026 23:25:43"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\braces\package.json","1,61","28/05/2026 23:25:45"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\browserslist\package.json","1,09","29/05/2026 00:04:27"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\busboy\package.json","0,79","28/05/2026 23:25:45"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\camelcase-css\package.json","0,84","28/05/2026 23:25:43"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\caniuse-lite\package.json","0,72","28/05/2026 23:25:51"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\chokidar\package.json","1,61","28/05/2026 23:25:45"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\chokidar\node_modules\glob-parent\package.json","1,08","28/05/2026 23:25:43"
